DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 14E ARRDT	Magnolia	17,5
Alignement	PARIS 14E ARRDT	Platane	25
Alignement	PARIS 12E ARRDT	Tilleul	38,64
Alignement	PARIS 6E ARRDT	Platane	53,33
Alignement	PARIS 14E ARRDT	Tilleul	37,5
Alignement	PARIS 15E ARRDT	Tilleul	37,78
Alignement	PARIS 11E ARRDT	Sophora	69,83
Alignement	PARIS 6E ARRDT	Platane	14,74
Alignement	PARIS 12E ARRDT	Laurier du Portugal	18,75
Alignement	PARIS 12E ARRDT	Poirier à fleurs	22,5
Alignement	PARIS 16E ARRDT	Marronnier	19,09
Alignement	PARIS 17E ARRDT	Peuplier	27,39
Alignement	PARIS 20E ARRDT	Copalme	5,56
Alignement	PARIS 15E ARRDT	Platane	40,48
Alignement	PARIS 17E ARRDT	Platane	31,63
Alignement	PARIS 5E ARRDT	Platane	30
Alignement	PARIS 13E ARRDT	Marronnier	27,42
Alignement	PARIS 13E ARRDT	Micocoulier	50
Alignement	PARIS 16E ARRDT	Magnolia	15,91
Alignement	PARIS 20E ARRDT	Cerisier à fleurs	37,5
Alignement	PARIS 19E ARRDT	Tilleul	24,14
Alignement	PARIS 4E ARRDT	Frêne	18,18
Alignement	PARIS 17E ARRDT	Alisier	29,17
Alignement	PARIS 19E ARRDT	Tilleul	38,79
Alignement	PARIS 13E ARRDT	Platane	30
Alignement	PARIS 20E ARRDT	Poirier à fleurs	25
Alignement	PARIS 18E ARRDT	Paulownia	82,14
Alignement	PARIS 12E ARRDT	Platane	17,86
Alignement	PARIS 5E ARRDT	Noisetier de Byzance	22
Alignement	PARIS 18E ARRDT	Marronnier	16,15
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	40
Alignement	PARIS 4E ARRDT	Micocoulier	33,33
Alignement	PARIS 18E ARRDT	Platane	21,69
Alignement	PARIS 12E ARRDT	Poirier	7,35
Alignement	PARIS 20E ARRDT	Cerisier à grappes	32
Alignement	PARIS 13E ARRDT	Cerisier à fleurs	10
Alignement	PARIS 19E ARRDT	Copalme	26,09
Alignement	PARIS 13E ARRDT	Micocoulier	62,5
Alignement	PARIS 9E ARRDT	Fevier	37,14
Alignement	PARIS 13E ARRDT	Troene	28,13
Alignement	PARIS 13E ARRDT	Paulownia	32,38
Alignement	PARIS 17E ARRDT	Platane	28,24
Alignement	PARIS 12E ARRDT	Tilleul	29,31
Alignement	PARIS 16E ARRDT	Marronnier	29,17
Alignement	PARIS 17E ARRDT	Cedrele	15,48
Alignement	PARIS 3E ARRDT	Sophora	100
Alignement	PARIS 1ER ARRDT	Platane	26,56
Alignement	BOIS DE BOULOGNE	Chêne	16,5
Alignement	BOIS DE BOULOGNE	Marronnier	21,43
Alignement	PARIS 15E ARRDT	Charme	9,23
Alignement	PARIS 14E ARRDT	Arbre aux quarante écus	29,63
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	28,24
Alignement	PARIS 19E ARRDT	Paulownia	37,5
Alignement	PARIS 17E ARRDT	Tilleul	100
Alignement	PARIS 18E ARRDT	Fevier	6,73
Alignement	PARIS 17E ARRDT	Peuplier	62,86
Alignement	PARIS 18E ARRDT	Cerisier à fleurs	28,57
Alignement	PARIS 20E ARRDT	Noisetier de Byzance	42,58
Alignement	PARIS 12E ARRDT	Platane	35,42
Alignement	PARIS 13E ARRDT	Tilleul	27,59
Alignement	PARIS 13E ARRDT	Poirier à fleurs	33,33
Alignement	PARIS 4E ARRDT	Tilleul	30,43
Alignement	PARIS 18E ARRDT	Tilleul	72
Alignement	PARIS 14E ARRDT	Erable	27,08
Alignement	PARIS 16E ARRDT	Sophora	35,79
Alignement	PARIS 20E ARRDT	Mûrier	6,45
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	16,69
Alignement	PARIS 19E ARRDT	Robinier	33,33
Alignement	PARIS 16E ARRDT	Tilleul	46,15
Alignement	PARIS 15E ARRDT	Micocoulier	100
Alignement	PARIS 19E ARRDT	Tilleul	50
Alignement	PARIS 13E ARRDT	Marronnier	28
Alignement	PARIS 12E ARRDT	Platane	33,33
Alignement	PARIS 14E ARRDT	Poirier à fleurs	14,58
Alignement	PARIS 14E ARRDT	Sophora	11,76
Alignement	PARIS 19E ARRDT	Poirier à fleurs	6,48
Alignement	PARIS 17E ARRDT	Platane	2,78
Alignement	PARIS 13E ARRDT	Fevier	50
Alignement	PARIS 13E ARRDT	Lilas des indes	7,86
Alignement	PARIS 20E ARRDT	Sophora	38,89
Alignement	PARIS 8E ARRDT	Frêne	20,39
Alignement	PARIS 16E ARRDT	Tilleul	43,85
Alignement	PARIS 17E ARRDT	Platane	28,95
Alignement	PARIS 17E ARRDT	Platane	27
Alignement	PARIS 20E ARRDT	Orme	40
Alignement	PARIS 5E ARRDT	Platane	100
Alignement	PARIS 9E ARRDT	Platane	51,24
Alignement	PARIS 16E ARRDT	Sophora	77,14
Alignement	PARIS 18E ARRDT	Platane	21,72
Alignement	PARIS 1ER ARRDT	Platane	33,33
Alignement	PARIS 17E ARRDT	Tilleul	55,2
Alignement	PARIS 13E ARRDT	Poirier à fleurs	50
Alignement	PARIS 16E ARRDT	Sophora	44
Alignement	PARIS 17E ARRDT	Platane	42,25
Alignement	PARIS 12E ARRDT	Platane	12,5
Alignement	PARIS 12E ARRDT	Tilleul	21,74
Alignement	PARIS 13E ARRDT	Tilleul	36
Alignement	PARIS 17E ARRDT	Platane	26,67
Alignement	PARIS 7E ARRDT	Marronnier	39,29
Alignement	PARIS 14E ARRDT	Sophora	50
Alignement	PARIS 13E ARRDT	Frêne	35,29
Alignement	PARIS 15E ARRDT	Micocoulier	44
Alignement	PARIS 17E ARRDT	Magnolia	8,62
Alignement	PARIS 14E ARRDT	Sophora	35
Alignement	PARIS 15E ARRDT	Tilleul	32,61
Alignement	PARIS 14E ARRDT	Erable	12
Alignement	PARIS 12E ARRDT	Tilleul	45
Alignement	PARIS 13E ARRDT	Cerisier à fleurs	20,45
Alignement	PARIS 18E ARRDT	Tilleul	20,74
Alignement	PARIS 16E ARRDT	Sophora	21,82
Alignement	PARIS 19E ARRDT	Peuplier	110,34
Alignement	PARIS 20E ARRDT	Sophora	18,75
Alignement	PARIS 17E ARRDT	Marronnier	27,27
Alignement	PARIS 3E ARRDT	Platane	25,67
Alignement	PARIS 15E ARRDT	Arbre de Judée	28,57
Alignement	PARIS 3E ARRDT	Chêne	20,31
Alignement	PARIS 20E ARRDT	Arbre aux quarante écus	38,79
Alignement	PARIS 10E ARRDT	Charme	34,12
Alignement	PARIS 20E ARRDT	Cerisier à grappes	58,33
Alignement	PARIS 15E ARRDT	Platane	30,95
Alignement	PARIS 2E ARRDT	Platane	56
Alignement	PARIS 8E ARRDT	Marronnier	37,5
Alignement	PARIS 16E ARRDT	Cedrele	31,25
Alignement	PARIS 15E ARRDT	Platane	75
Alignement	PARIS 18E ARRDT	Fevier	74,07
Alignement	PARIS 13E ARRDT	Tilleul	23,33
Alignement	PARIS 15E ARRDT	Paulownia	60
Alignement	PARIS 11E ARRDT	Tilleul	33,93
Alignement	PARIS 20E ARRDT	Cerisier à fleurs	8,89
Alignement	PARIS 15E ARRDT	Noisetier de Byzance	33,33
Alignement	PARIS 7E ARRDT	Platane	11,67
Alignement	PARIS 12E ARRDT	Platane	102,63
Alignement	PARIS 13E ARRDT	Marronnier	48,89
Alignement	PARIS 14E ARRDT	Platane	35,34
Alignement	BOIS DE BOULOGNE	Merisier	23,33
Alignement	PARIS 12E ARRDT	Cedrele	22,62
Alignement	PARIS 13E ARRDT	Micocoulier	100
Alignement	PARIS 14E ARRDT	Platane	26,72
Alignement	PARIS 12E ARRDT	Laurier du Portugal	25
Alignement	PARIS 17E ARRDT	Cerisier à fleurs	100
Alignement	PARIS 2E ARRDT	Chêne	100
Alignement	PARIS 16E ARRDT	Sophora	32,14
Alignement	PARIS 7E ARRDT	Peuplier	114,29
Alignement	PARIS 2E ARRDT	Sophora	30,88
Alignement	PARIS 13E ARRDT	Phellodendron	66,67
Alignement	PARIS 20E ARRDT	Charme	88,64
Alignement	PARIS 13E ARRDT	Micocoulier	72,73
Alignement	PARIS 17E ARRDT	Platane	35
Alignement	PARIS 17E ARRDT	Platane	21,98
Alignement	PARIS 4E ARRDT	Marronnier	35,29
Alignement	PARIS 8E ARRDT	Frêne	22,61
Alignement	PARIS 11E ARRDT	Tilleul	50
Alignement	PARIS 5E ARRDT	Sophora	34,48
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	10,34
Alignement	PARIS 5E ARRDT	Chicot du Canada	100
Alignement	PARIS 8E ARRDT	Marronnier	19,44
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	64,8
Alignement	PARIS 15E ARRDT	Platane	100
Alignement	PARIS 12E ARRDT	Marronnier	25
Alignement	PARIS 20E ARRDT	Charme	40
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	12,93
Alignement	PARIS 12E ARRDT	Tilleul	29,31
Alignement	PARIS 6E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Sophora	50
Alignement	BOIS DE BOULOGNE	Erable	12
Alignement	PARIS 16E ARRDT	Marronnier	17,5
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	30
Alignement	PARIS 15E ARRDT	Poirier à fleurs	28,24
Alignement	PARIS 18E ARRDT	Platane	44,44
Alignement	PARIS 12E ARRDT	Platane	41,67
Alignement	PARIS 17E ARRDT	Platane	26,67
Alignement	PARIS 15E ARRDT	Marronnier	20,59
Alignement	PARIS 14E ARRDT	Platane	33,62
Alignement	PARIS 12E ARRDT	Erable	62,5
Alignement	PARIS 17E ARRDT	Platane	2,03
Alignement	PARIS 16E ARRDT	Platane	59,21
Alignement	PARIS 17E ARRDT	Platane	97,5
Alignement	PARIS 20E ARRDT	Tilleul	36,36
Alignement	PARIS 17E ARRDT	Platane	20,06
Alignement	PARIS 18E ARRDT	Marronnier	15
Alignement	PARIS 14E ARRDT	Marronnier	13,16
Alignement	PARIS 12E ARRDT	Platane	50
Alignement	PARIS 16E ARRDT	Tilleul	21,43
Alignement	PARIS 10E ARRDT	Orme	58,67
Alignement	PARIS 20E ARRDT	Platane	123,53
Alignement	PARIS 10E ARRDT	Charme	28
Alignement	PARIS 14E ARRDT	Charme	27,5
Alignement	PARIS 18E ARRDT	Platane	31,25
Alignement	BOIS DE BOULOGNE	Marronnier	44
Alignement	PARIS 17E ARRDT	Platane	28,17
Alignement	PARIS 13E ARRDT	Tilleul	34,84
Alignement	PARIS 13E ARRDT	Marronnier	19,35
Alignement	PARIS 15E ARRDT	Frêne	14,48
Alignement	PARIS 6E ARRDT	Chêne	19,64
Alignement	PARIS 8E ARRDT	Marronnier	49,5
Alignement	PARIS 8E ARRDT	Marronnier	22,4
Alignement	PARIS 12E ARRDT	Tilleul	52,94
Alignement	PARIS 18E ARRDT	Charme-Houblon	31,25
Alignement	PARIS 15E ARRDT	Mûrier	50
Alignement	PARIS 18E ARRDT	Cerisier à grappes	14,06
Alignement	PARIS 20E ARRDT	Magnolia	20,69
Alignement	PARIS 20E ARRDT	Cerisier à grappes	27
Alignement	PARIS 13E ARRDT	Savonnier	42,22
Alignement	PARIS 4E ARRDT	Frêne	50
Alignement	BOIS DE BOULOGNE	Pin	30
Alignement	PARIS 20E ARRDT	Erable	22,5
Alignement	PARIS 18E ARRDT	Mûrier	16,5
Alignement	PARIS 19E ARRDT	Platane	30
Alignement	PARIS 16E ARRDT	Platane	36,36
Alignement	PARIS 12E ARRDT	Platane	50
Alignement	PARIS 18E ARRDT	Ailante	19,56
Alignement	PARIS 18E ARRDT	Erable	26
Alignement	PARIS 5E ARRDT	Ailante	50
Alignement	PARIS 12E ARRDT	Noyer	10,83
Alignement	PARIS 17E ARRDT	Noisetier de Byzance	40
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	24,58
Alignement	PARIS 7E ARRDT	Platane	39,29
Alignement	PARIS 14E ARRDT	Charme	27,5
Alignement	PARIS 9E ARRDT	Pterocarya	43,75
Alignement	PARIS 2E ARRDT	Fevier	36,4
Alignement	PARIS 13E ARRDT	Pommier à fleurs	9,6
Alignement	PARIS 19E ARRDT	Erable	27,5
Alignement	PARIS 15E ARRDT	Clerodendron	12,5
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	19,64
Alignement	PARIS 13E ARRDT	Frêne	30,59
Alignement	PARIS 20E ARRDT	Charme-Houblon	24,55
Alignement	PARIS 19E ARRDT	Chêne	54,17
Alignement	PARIS 10E ARRDT	Orme	29,33
Alignement	PARIS 19E ARRDT	Micocoulier	41,67
Alignement	PARIS 17E ARRDT	Sophora	50
Alignement	PARIS 13E ARRDT	Tulipier	29,17
Alignement	PARIS 20E ARRDT	Cerisier à fleurs	100
Alignement	PARIS 1ER ARRDT	Poirier	31,25
Alignement	PARIS 15E ARRDT	Mûrier	23,86
Alignement	PARIS 11E ARRDT	Cerisier à fleurs	56,25
Alignement	PARIS 18E ARRDT	Robinier	42,39
Alignement	PARIS 13E ARRDT	Micocoulier	25
Alignement	PARIS 8E ARRDT	Marronnier	25
Alignement	PARIS 4E ARRDT	Robinier	100
Alignement	PARIS 11E ARRDT	Poirier à fleurs	50
Alignement	PARIS 9E ARRDT	Sophora	52,5
Alignement	PARIS 20E ARRDT	Tilleul	15,56
Alignement	PARIS 11E ARRDT	Sophora	23,53
Alignement	PARIS 14E ARRDT	Sophora	40,63
Alignement	PARIS 9E ARRDT	Marronnier	80
Alignement	PARIS 14E ARRDT	Tilleul	33,75
Alignement	PARIS 16E ARRDT	Platane	100
Alignement	PARIS 17E ARRDT	Micocoulier	100
Alignement	PARIS 20E ARRDT	Tilleul	48,42
Alignement	PARIS 7E ARRDT	Sophora	24,43
Alignement	PARIS 18E ARRDT	Poirier à fleurs	16,55
Alignement	PARIS 12E ARRDT	Sophora	100
Alignement	PARIS 1ER ARRDT	Platane	100
Alignement	PARIS 16E ARRDT	Photinia	17,86
Alignement	PARIS 20E ARRDT	Frêne	26,67
Alignement	PARIS 8E ARRDT	Chêne	49
Alignement	PARIS 20E ARRDT	Platane	34,21
Alignement	PARIS 4E ARRDT	Marronnier	21,88
Alignement	PARIS 14E ARRDT	Sophora	50
Alignement	PARIS 15E ARRDT	Marronnier	17,65
Alignement	PARIS 16E ARRDT	Platane	25,59
Alignement	PARIS 15E ARRDT	Poirier à fleurs	24,23
Alignement	PARIS 10E ARRDT	Peuplier	65
Alignement	PARIS 18E ARRDT	Fevier	29,48
Alignement	PARIS 16E ARRDT	Sophora	37,5
Alignement	PARIS 17E ARRDT	Platane	7,5
Alignement	PARIS 17E ARRDT	Platane	30,68
Alignement	PARIS 6E ARRDT	Marronnier	50
Alignement	PARIS 13E ARRDT	Micocoulier	100
Alignement	PARIS 6E ARRDT	Chêne	37,5
Alignement	PARIS 17E ARRDT	Platane	100
Alignement	PARIS 19E ARRDT	Tulipier	32,61
Alignement	PARIS 13E ARRDT	Sophora	37,5
Alignement	PARIS 8E ARRDT	Marronnier	18,42
Alignement	PARIS 19E ARRDT	Tulipier	44,44
Alignement	PARIS 3E ARRDT	Chêne	54
Alignement	PARIS 11E ARRDT	Erable	62,5
Alignement	PARIS 20E ARRDT	Sophora	44,74
Alignement	PARIS 12E ARRDT	Tilleul	15,48
Alignement	PARIS 1ER ARRDT	Marronnier	100
Alignement	PARIS 16E ARRDT	Ailante	32,14
Alignement	PARIS 12E ARRDT	Platane	81,25
Alignement	PARIS 14E ARRDT	Sophora	50
Alignement	PARIS 17E ARRDT	Platane	26,8
Alignement	PARIS 13E ARRDT	Peuplier	100
Alignement	PARIS 12E ARRDT	Platane	10,29
Alignement	PARIS 7E ARRDT	Platane	100
Alignement	PARIS 8E ARRDT	Platane	31,74
Alignement	PARIS 17E ARRDT	Platane	32,14
Alignement	PARIS 18E ARRDT	Peuplier	28,68
Alignement	PARIS 16E ARRDT	Marronnier	26,92
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	15,38
Alignement	PARIS 7E ARRDT	Peuplier	64,29
Alignement	PARIS 17E ARRDT	Cerisier à grappes	36
Alignement	PARIS 13E ARRDT	Poirier à fleurs	25
Alignement	PARIS 20E ARRDT	Frêne	100
Alignement	PARIS 16E ARRDT	Noisetier de Byzance	33,93
Alignement	PARIS 1ER ARRDT	Platane	31,25
Alignement	PARIS 13E ARRDT	Marronnier	125
Alignement	PARIS 20E ARRDT	Marronnier	100
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	20,63
Alignement	PARIS 5E ARRDT	Platane	64,29
Alignement	PARIS 13E ARRDT	Erable	45
Alignement	PARIS 13E ARRDT	Sophora	30
Alignement	BOIS DE BOULOGNE	Erable	22
Alignement	PARIS 19E ARRDT	Merisier	125
Alignement	PARIS 14E ARRDT	Marronnier	13,16
Alignement	PARIS 14E ARRDT	Marronnier	12,63
Alignement	PARIS 18E ARRDT	Noisetier de Byzance	5,77
Alignement	PARIS 11E ARRDT	Platane	35
Alignement	PARIS 14E ARRDT	Pterocarya	25
Alignement	PARIS 11E ARRDT	Poirier à fleurs	15,63
Alignement	PARIS 13E ARRDT	Chêne	25,86
Alignement	PARIS 16E ARRDT	Tilleul	25
Alignement	PARIS 13E ARRDT	Peuplier	96
Alignement	PARIS 18E ARRDT	Marronnier	17,78
Alignement	PARIS 13E ARRDT	Metaséquoia	22,5
Alignement	PARIS 13E ARRDT	Marronnier	35,48
Alignement	PARIS 20E ARRDT	Erable	40
Alignement	PARIS 8E ARRDT	Micocoulier	13,33
Alignement	PARIS 12E ARRDT	Platane	45,24
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 19E ARRDT	Tilleul	6,9
Alignement	PARIS 10E ARRDT	Platane	28,67
Alignement	PARIS 12E ARRDT	Platane	43,75
Alignement	PARIS 19E ARRDT	Noisetier de Byzance	50
Alignement	PARIS 13E ARRDT	Fevier	25
Alignement	PARIS 16E ARRDT	Marronnier	72,8
Alignement	PARIS 17E ARRDT	Noisetier de Byzance	13,45
Alignement	PARIS 2E ARRDT	Tilleul	41,6
Alignement	PARIS 8E ARRDT	Marronnier	9,72
Alignement	PARIS 17E ARRDT	Platane	3,14
Alignement	PARIS 12E ARRDT	Tilleul	43,48
Alignement	PARIS 12E ARRDT	Platane	28,13
Alignement	PARIS 17E ARRDT	Micocoulier	42,22
Alignement	PARIS 4E ARRDT	Pterocarya	15,12
Alignement	PARIS 17E ARRDT	Micocoulier	15
Alignement	PARIS 12E ARRDT	Troëne	27,94
Alignement	PARIS 12E ARRDT	Alisier	18,18
Alignement	PARIS 20E ARRDT	Tilleul	10,5
Alignement	PARIS 15E ARRDT	Orme de Sibérie	100
Alignement	PARIS 16E ARRDT	Marronnier	19,31
Alignement	PARIS 8E ARRDT	Platane	197,6
Alignement	PARIS 18E ARRDT	Platane	100
Alignement	PARIS 10E ARRDT	Frêne	10,21
Alignement	PARIS 19E ARRDT	Micocoulier	62,5
Alignement	PARIS 19E ARRDT	Micocoulier	78,57
Alignement	PARIS 11E ARRDT	Sophora	56,14
Alignement	PARIS 20E ARRDT	Micocoulier	32,14
Alignement	PARIS 11E ARRDT	Frêne	13,33
Alignement	PARIS 17E ARRDT	Platane	44,35
Alignement	PARIS 5E ARRDT	Paulownia	38,4
Alignement	PARIS 13E ARRDT	Ailante	28,89
Alignement	PARIS 14E ARRDT	Cedrele	2,37
Alignement	PARIS 18E ARRDT	Micocoulier	35,71
Alignement	PARIS 17E ARRDT	Sophora	18,75
Alignement	PARIS 14E ARRDT	Platane	50
Alignement	PARIS 20E ARRDT	Erable	100
Alignement	PARIS 18E ARRDT	Erable	27,78
Alignement	PARIS 7E ARRDT	Platane	75
Alignement	PARIS 12E ARRDT	Marronnier	62,5
Alignement	PARIS 14E ARRDT	Marronnier	20
Alignement	PARIS 16E ARRDT	Platane	45,45
Alignement	PARIS 16E ARRDT	Platane	100
Alignement	PARIS 16E ARRDT	Platane	30
Alignement	PARIS 19E ARRDT	Micocoulier	45,65
Alignement	PARIS 13E ARRDT	Tulipier	42,11
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 15E ARRDT	Micocoulier	50
Alignement	PARIS 10E ARRDT	Charme	60
Alignement	PARIS 15E ARRDT	Marronnier	27,27
Alignement	PARIS 13E ARRDT	Aubépine	23,08
Alignement	PARIS 4E ARRDT	Tilleul	50
Alignement	PARIS 14E ARRDT	Sophora	3,16
Alignement	PARIS 2E ARRDT	Tilleul	34,91
Alignement	PARIS 12E ARRDT	Platane	118,42
Alignement	PARIS 12E ARRDT	Erable	14,47
Alignement	PARIS 17E ARRDT	Tilleul	100
Alignement	PARIS 13E ARRDT	Platane	33,33
Alignement	PARIS 14E ARRDT	Tilleul	27,37
Alignement	PARIS 10E ARRDT	Orme	36,36
Alignement	PARIS 14E ARRDT	Orme de Sibérie	11,46
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	26,67
Alignement	PARIS 7E ARRDT	Platane	125
Alignement	PARIS 8E ARRDT	Marronnier	100
Alignement	PARIS 7E ARRDT	Marronnier	36,67
Alignement	PARIS 11E ARRDT	Cedrele	14,71
Alignement	PARIS 20E ARRDT	Pommier à fleurs	24
Alignement	PARIS 14E ARRDT	Platane	27,59
Alignement	PARIS 14E ARRDT	Sophora	17,65
Alignement	PARIS 20E ARRDT	Sophora	75
Alignement	PARIS 14E ARRDT	Platane	16,67
Alignement	PARIS 14E ARRDT	Sophora	25
Alignement	PARIS 19E ARRDT	Platane	78,57
Alignement	PARIS 18E ARRDT	Noisetier de Byzance	31,16
Alignement	PARIS 5E ARRDT	Platane	28
Alignement	PARIS 13E ARRDT	Chêne	18,57
Alignement	PARIS 19E ARRDT	Peuplier	46,55
Alignement	PARIS 16E ARRDT	Platane	62,63
Alignement	PARIS 20E ARRDT	Cerisier à fleurs	15,65
Alignement	PARIS 13E ARRDT	Marronnier	29,03
Alignement	BOIS DE BOULOGNE	Tilleul	19,2
Alignement	PARIS 9E ARRDT	Micocoulier	37,06
Alignement	PARIS 15E ARRDT	Poirier à fleurs	6,25
Alignement	PARIS 14E ARRDT	Charme-Houblon	32,73
Alignement	PARIS 15E ARRDT	Platane	40,48
Alignement	PARIS 20E ARRDT	Tilleul	47,09
Alignement	PARIS 20E ARRDT	Cerisier à fleurs	70
Alignement	PARIS 10E ARRDT	Platane	35
Alignement	PARIS 12E ARRDT	Charme	150
Alignement	PARIS 20E ARRDT	Chêne	40
Alignement	PARIS 19E ARRDT	Marronnier	100
Alignement	PARIS 11E ARRDT	Charme	26,32
Alignement	PARIS 12E ARRDT	Frêne	22,07
Alignement	PARIS 19E ARRDT	Tilleul	22,41
Alignement	PARIS 16E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Noisetier de Byzance	30,97
Alignement	PARIS 8E ARRDT	Marronnier	377,5
Alignement	PARIS 19E ARRDT	Charme	30
Alignement	PARIS 3E ARRDT	Platane	88
Alignement	PARIS 13E ARRDT	Tilleul	43,64
Alignement	PARIS 18E ARRDT	Tilleul	47,5
Alignement	PARIS 11E ARRDT	Micocoulier	50
Alignement	PARIS 5E ARRDT	Cedrele	48,57
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	13,79
Alignement	PARIS 16E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Sophora	31,28
Alignement	PARIS 5E ARRDT	Platane	24,07
Alignement	PARIS 12E ARRDT	Marronnier	100
Alignement	PARIS 7E ARRDT	Orme	100
Alignement	PARIS 18E ARRDT	Pin	225
Alignement	PARIS 8E ARRDT	Marronnier	106,67
Alignement	PARIS 10E ARRDT	Poirier à fleurs	25,24
Alignement	PARIS 2E ARRDT	Erable	10
Alignement	PARIS 8E ARRDT	Micocoulier	13,48
Alignement	PARIS 14E ARRDT	Poirier à fleurs	25
Alignement	PARIS 18E ARRDT	Robinier	31,25
Alignement	PARIS 19E ARRDT	Tilleul	50
Alignement	PARIS 14E ARRDT	Micocoulier	33,33
Alignement	PARIS 6E ARRDT	Platane	46,67
Alignement	PARIS 12E ARRDT	Platane	15,48
Alignement	BOIS DE BOULOGNE	Erable	37,5
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 19E ARRDT	Marronnier	100
Alignement	PARIS 19E ARRDT	Noisetier de Byzance	30,77
Alignement	PARIS 14E ARRDT	Platane	31,9
Alignement	PARIS 18E ARRDT	Tilleul	15,56
Alignement	PARIS 12E ARRDT	Erable	26,67
Alignement	PARIS 13E ARRDT	Paulownia	8,92
Alignement	PARIS 11E ARRDT	Platane	100
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	14,28
Alignement	PARIS 14E ARRDT	Troene	12,5
Alignement	PARIS 9E ARRDT	Platane	81,48
Alignement	PARIS 10E ARRDT	Charme	42,4
Alignement	PARIS 15E ARRDT	Charme	10,38
Alignement	PARIS 20E ARRDT	Savonnier	18,75
Alignement	PARIS 17E ARRDT	Platane	60
Alignement	PARIS 20E ARRDT	Tilleul	23,81
Alignement	PARIS 11E ARRDT	Micocoulier	45,65
Alignement	PARIS 13E ARRDT	Micocoulier	44,71
Alignement	PARIS 7E ARRDT	Paulownia	42
Alignement	PARIS 17E ARRDT	Platane	28,84
Alignement	PARIS 16E ARRDT	Sophora	27
Alignement	PARIS 12E ARRDT	Marronnier	7,35
Alignement	PARIS 10E ARRDT	Orme	52,73
Alignement	PARIS 16E ARRDT	Sophora	31,36
Alignement	PARIS 12E ARRDT	Platane	152,94
Alignement	PARIS 6E ARRDT	Platane	50
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	17,31
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	17,5
Alignement	PARIS 14E ARRDT	Merisier	22,5
Alignement	PARIS 18E ARRDT	Cerisier à grappes	15,63
Alignement	PARIS 12E ARRDT	Cerisier à fleurs	8
Alignement	PARIS 14E ARRDT	Poirier à fleurs	15,91
Alignement	PARIS 6E ARRDT	Chêne	30
Alignement	PARIS 7E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Platane	37,5
Alignement	PARIS 12E ARRDT	Platane	64,29
Alignement	PARIS 12E ARRDT	Poirier à fleurs	10,87
Alignement	PARIS 13E ARRDT	Sophora	21,67
Alignement	PARIS 19E ARRDT	Marronnier	100
Alignement	PARIS 15E ARRDT	Micocoulier	50
Alignement	PARIS 15E ARRDT	Sophora	28,45
Alignement	PARIS 14E ARRDT	Sophora	21,43
Alignement	PARIS 14E ARRDT	Poirier à fleurs	22,65
Alignement	PARIS 16E ARRDT	Platane	62,5
Alignement	PARIS 8E ARRDT	Platane	17,82
Alignement	PARIS 12E ARRDT	Erable	35
Alignement	PARIS 12E ARRDT	Robinier	31,03
Alignement	PARIS 11E ARRDT	Sophora	32,5
Alignement	PARIS 13E ARRDT	Fevier	525
Alignement	PARIS 12E ARRDT	Platane	33,33
Alignement	PARIS 13E ARRDT	Erable	36,36
Alignement	PARIS 11E ARRDT	Micocoulier	30,36
Alignement	PARIS 20E ARRDT	Noisetier de Byzance	31,3
Alignement	PARIS 5E ARRDT	Platane	23,57
Alignement	PARIS 15E ARRDT	Poirier à fleurs	28,24
Alignement	PARIS 7E ARRDT	Platane	15,24
Alignement	PARIS 18E ARRDT	Robinier	45
Alignement	PARIS 14E ARRDT	Sophora	25
Alignement	PARIS 19E ARRDT	Sophora	111,11
Alignement	PARIS 12E ARRDT	Platane	11,76
Alignement	PARIS 16E ARRDT	Sophora	30
Alignement	PARIS 3E ARRDT	Magnolia	24,33
Alignement	PARIS 13E ARRDT	Peuplier	87,5
Alignement	PARIS 13E ARRDT	Sophora	17,11
Alignement	PARIS 13E ARRDT	Frêne	21
Alignement	PARIS 8E ARRDT	Marronnier	25
Alignement	PARIS 13E ARRDT	Marronnier	35,29
