DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 7E ARRDT	Marronnier	23,57
Alignement	PARIS 14E ARRDT	Charme	30
Alignement	PARIS 16E ARRDT	Erable	27,69
Alignement	PARIS 11E ARRDT	Pterocarya	32
Alignement	PARIS 18E ARRDT	Noisetier de Byzance	32,14
Alignement	PARIS 1ER ARRDT	Peuplier	37,93
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	48
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	24
Alignement	PARIS 10E ARRDT	Platane	22,92
Alignement	PARIS 19E ARRDT	Chêne	33,33
Alignement	PARIS 19E ARRDT	Erable	60
Alignement	PARIS 11E ARRDT	Sophora	57,95
Alignement	PARIS 13E ARRDT	Marronnier	73,33
Alignement	BOIS DE VINCENNES	Marronnier	225,88
Alignement	PARIS 19E ARRDT	Erable	31,82
Alignement	PARIS 12E ARRDT	Erable	8,62
Alignement	PARIS 15E ARRDT	Marronnier	29,09
Alignement	PARIS 15E ARRDT	Platane	56,25
Alignement	PARIS 18E ARRDT	Platane	22,22
Alignement	PARIS 18E ARRDT	Erable	62,5
Alignement	PARIS 12E ARRDT	Platane	100
Alignement	PARIS 11E ARRDT	Noyer	30
Alignement	PARIS 12E ARRDT	Marronnier	50
Alignement	PARIS 13E ARRDT	Charme	22,22
Alignement	PARIS 19E ARRDT	Micocoulier	73,08
Alignement	PARIS 13E ARRDT	Platane	12,5
Alignement	PARIS 17E ARRDT	Platane	18
Alignement	PARIS 14E ARRDT	Sophora	62,5
Alignement	PARIS 15E ARRDT	Platane	120
Alignement	PARIS 7E ARRDT	Platane	27
Alignement	PARIS 4E ARRDT	Platane	17,5
Alignement	PARIS 15E ARRDT	Lilas de Perse	100
Alignement	PARIS 20E ARRDT	Hêtre	100
Alignement	PARIS 18E ARRDT	Platane	61,11
Alignement	PARIS 15E ARRDT	Cerisier à grappes	13,33
Alignement	PARIS 15E ARRDT	Chêne	34,78
Alignement	PARIS 12E ARRDT	Platane	100
Alignement	PARIS 8E ARRDT	Marronnier	47,83
Alignement	PARIS 17E ARRDT	Platane	9,52
Alignement	PARIS 13E ARRDT	Tilleul	27,42
Alignement	PARIS 11E ARRDT	Tilleul	15,91
Alignement	PARIS 18E ARRDT	Poirier à fleurs	18,75
Alignement	PARIS 20E ARRDT	Tilleul	100
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	25
Alignement	PARIS 15E ARRDT	Poirier à fleurs	26,92
Alignement	PARIS 4E ARRDT	Orme	72
Alignement	PARIS 16E ARRDT	Marronnier	18,18
Alignement	PARIS 15E ARRDT	Chêne	100
Alignement	PARIS 16E ARRDT	Magnolia	26,67
Alignement	PARIS 17E ARRDT	Platane	77,68
Alignement	PARIS 13E ARRDT	Tilleul	42,58
Alignement	BOIS DE BOULOGNE	Marronnier	75
Alignement	PARIS 20E ARRDT	Arbre aux quarante écus	41,25
Alignement	PARIS 12E ARRDT	Platane	100
Alignement	PARIS 2E ARRDT	Charme-Houblon	13,21
Alignement	PARIS 16E ARRDT	Tilleul	62,07
Alignement	PARIS 19E ARRDT	Platane	35
Alignement	PARIS 14E ARRDT	Sophora	31,25
Alignement	PARIS 16E ARRDT	Copalme	22,2
Alignement	PARIS 2E ARRDT	Platane	100
Alignement	PARIS 16E ARRDT	Sophora	26,09
Alignement	PARIS 6E ARRDT	Platane	11,85
Alignement	PARIS 17E ARRDT	Platane	100
Alignement	PARIS 16E ARRDT	Sophora	34,05
Alignement	PARIS 13E ARRDT	Marronnier	32,26
Alignement	PARIS 18E ARRDT	Platane	42,86
Alignement	PARIS 11E ARRDT	Platane	20,83
Alignement	PARIS 13E ARRDT	Erable	33,33
Alignement	PARIS 20E ARRDT	Sophora	60
Alignement	PARIS 17E ARRDT	Sophora	118,42
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	19,5
Alignement	PARIS 19E ARRDT	Peuplier	93,1
Alignement	PARIS 15E ARRDT	Platane	67,5
Alignement	PARIS 7E ARRDT	Platane	100
Alignement	PARIS 18E ARRDT	Poirier à fleurs	9,52
Alignement	PARIS 18E ARRDT	Noisetier de Byzance	16,74
Alignement	PARIS 5E ARRDT	Cedrele	100
Alignement	PARIS 15E ARRDT	Micocoulier	90
Alignement	PARIS 14E ARRDT	Erable	18,75
Alignement	BOIS DE BOULOGNE	Platane	46,43
Alignement	PARIS 19E ARRDT	Robinier	65
Alignement	PARIS 17E ARRDT	Poirier à fleurs	10,67
Alignement	PARIS 9E ARRDT	Chêne	31,82
Alignement	PARIS 4E ARRDT	Peuplier	46,15
Alignement	PARIS 10E ARRDT	Peuplier	13,41
Alignement	PARIS 14E ARRDT	Tilleul	41,67
Alignement	PARIS 15E ARRDT	Platane	10
Alignement	PARIS 9E ARRDT	Fevier	36
Alignement	PARIS 19E ARRDT	Charme	50
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	13,25
Alignement	PARIS 8E ARRDT	Platane	35,57
Alignement	PARIS 20E ARRDT	Charme	30
Alignement	PARIS 13E ARRDT	Pommier à fleurs	7,5
Alignement	PARIS 17E ARRDT	Platane	25,29
Alignement	PARIS 20E ARRDT	Troëne	60
Alignement	PARIS 2E ARRDT	Photinia	100
Alignement	BOIS DE BOULOGNE	Platane	105
Alignement	PARIS 20E ARRDT	Poirier à fleurs	27,08
Alignement	BOIS DE BOULOGNE	Tilleul	80
Alignement	PARIS 16E ARRDT	Tilleul	4,75
Alignement	PARIS 8E ARRDT	Platane	25
Alignement	PARIS 15E ARRDT	Tilleul	33,33
Alignement	PARIS 13E ARRDT	Peuplier	60
Alignement	BOIS DE BOULOGNE	Erable	28,59
Alignement	BOIS DE BOULOGNE	Erable	28
Alignement	PARIS 20E ARRDT	Pommier à fleurs	25
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	27,5
Alignement	BOIS DE BOULOGNE	Erable	39,6
Alignement	PARIS 6E ARRDT	Platane	50
Alignement	PARIS 6E ARRDT	Charme-Houblon	64
Alignement	PARIS 12E ARRDT	Platane	49,58
Alignement	PARIS 16E ARRDT	Platane	57,14
Alignement	PARIS 20E ARRDT	Platane	42
Alignement	PARIS 18E ARRDT	Erable	30,43
Alignement	PARIS 10E ARRDT	Frêne	17,33
Alignement	PARIS 13E ARRDT	Chêne	27,08
Alignement	PARIS 18E ARRDT	Frêne à fleurs	31,25
Alignement	PARIS 16E ARRDT	Erable	150
